"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.012687140E0,1.333184540E-1,7.053875923E-2,-1.045703888E-2,1.511915222E-1
1.017691986E0,1.310991049E-1,6.989383698E-2,-8.261680603E-3,1.487964352E-1
1.022696909E0,-6.087255478E-2,1.070678234E-1,-8.006095886E-3,1.234223817E-1
1.027701827E0,-6.033530831E-2,1.061706543E-1,-7.775306702E-3,1.223642622E-1
1.032706750E0,1.482847333E-2,1.824176311E-1,4.152393341E-2,1.876707564E-1
1.037680981E0,-6.169652939E-2,1.436445713E-1,4.173946381E-2,1.618097878E-1
1.042685894E0,-6.244930625E-2,1.431505680E-1,4.189968109E-2,1.617021467E-1
1.047690817E0,-1.009964049E-1,6.600403786E-2,4.192543030E-2,1.277284170E-1
1.052695673E0,-1.014454663E-1,6.596493721E-2,4.390144348E-2,1.287240937E-1
1.057700596E0,-6.435549259E-2,-1.026582718E-2,4.373264313E-2,7.848286889E-2
1.062705519E0,-6.535759568E-2,-9.552717209E-3,4.356765747E-2,7.912654736E-2
1.067679730E0,9.992063046E-3,-4.649281502E-2,4.333782196E-2,6.433964551E-2
1.072684576E0,8.479985595E-2,-7.833719254E-3,4.725933075E-2,9.739521071E-2
1.077689480E0,8.269566298E-2,-7.018089294E-3,4.710006714E-2,9.542663452E-2
1.082694173E0,1.182566285E-1,-1.192405224E-1,4.668998718E-2,1.743068767E-1
1.087699308E0,1.157988012E-1,-1.175203323E-1,5.424499512E-2,1.736747257E-1
1.092704000E0,7.561299205E-2,-7.819843292E-2,5.393409729E-2,1.214133696E-1
1.097708923E0,7.398077846E-2,-7.697653770E-2,5.364990234E-2,1.194857940E-1
1.102683394E0,7.232490182E-2,-1.133739948E-1,5.327701569E-2,1.446478293E-1
1.107688317E0,7.061561942E-2,-1.117532253E-1,3.893566132E-2,1.378090519E-1
1.112693168E0,-1.214588284E-1,2.828836441E-3,3.877830505E-2,1.275304131E-1
1.117698091E0,-1.582898349E-1,-1.097407341E-1,3.834724426E-2,1.963904572E-1
1.122703000E0,-1.575567573E-1,-1.085326672E-1,6.694126129E-2,2.026933745E-1
