"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.177475260E2,6.504518711E1,2.543671176E1,1.251776991E1,3.000000000E1,1.269999981E0,2.652000122E2,1.426116209E-1,2.500000000E0,3.000000000E0,2.800000000E1
1.187466983E2,6.504519084E1,2.543668645E1,1.251776589E1,3.000000000E1,8.199999928E-1,2.667000122E2,1.436860938E-1,2.500000000E0,3.000000000E0,2.400000000E1
1.197519427E2,6.504518992E1,2.543666365E1,1.251776402E1,3.000000000E1,1.090000033E0,2.673999939E2,1.448906519E-1,2.500000000E0,3.000000000E0,2.500000000E1
1.207462950E2,6.504519152E1,2.543663825E1,1.251776087E1,3.000000000E1,8.700000048E-1,2.728999939E2,1.464565427E-1,2.500000000E0,3.000000000E0,2.600000000E1
1.217494679E2,6.504520074E1,2.543661302E1,1.251775462E1,3.000000000E1,1.000000000E0,2.826000061E2,1.476729173E-1,2.000000000E0,3.000000000E0,2.600000000E1
1.227477736E2,6.504520677E1,2.543659139E1,1.251775003E1,3.000000000E1,6.200000048E-1,2.838999939E2,1.490406364E-1,2.500000000E0,3.000000000E0,2.500000000E1
1.237471044E2,6.504521490E1,2.543656952E1,1.251774456E1,3.000000000E1,8.399999738E-1,2.838999939E2,1.504279774E-1,2.500000000E0,3.000000000E0,2.700000000E1
1.247552311E2,6.504521695E1,2.543654035E1,1.251774085E1,3.000000000E1,8.499999642E-1,2.935000000E2,1.520126495E-1,2.500000000E0,3.000000000E0,2.900000000E1
1.257467267E2,6.504522894E1,2.543652208E1,1.251773415E1,3.000000000E1,5.000000000E-1,3.027000122E2,1.527904904E-1,2.500000000E0,3.000000000E0,2.700000000E1
1.267471100E2,6.504523405E1,2.543651076E1,1.251773095E1,3.000000000E1,5.399999619E-1,3.107000122E2,1.540148485E-1,2.500000000E0,3.000000000E0,2.700000000E1
1.277456406E2,6.504524457E1,2.543650305E1,1.251772590E1,3.000000000E1,6.999999881E-1,3.321000061E2,1.551174708E-1,2.500000000E0,3.000000000E0,2.100000000E1
1.287441266E2,6.504525388E1,2.543649492E1,1.151772130E1,2.900000000E1,9.499999881E-1,3.426000061E2,1.563136544E-1,2.500000000E0,3.000000000E0,2.700000000E1
1.297478892E2,6.504526406E1,2.543648670E1,1.151771634E1,2.900000000E1,1.069999933E0,3.477000122E2,1.571868350E-1,2.500000000E0,3.000000000E0,2.800000000E1
1.307537796E2,6.504527190E1,2.543648788E1,1.151771325E1,2.900000000E1,4.399999976E-1,3.567000122E2,1.577187844E-1,2.500000000E0,3.000000000E0,2.800000000E1
1.317476508E2,6.504527588E1,2.543648159E1,1.151771101E1,2.900000000E1,4.799999893E-1,3.500000000E0,1.587469183E-1,2.500000000E0,3.000000000E0,2.900000000E1
1.327414878E2,6.504528166E1,2.543646449E1,1.151770696E1,2.900000000E1,1.209999919E0,3.543999939E2,1.603751766E-1,2.500000000E0,3.000000000E0,2.300000000E1
1.337465266E2,6.504529524E1,2.543645150E1,1.151770014E1,2.900000000E1,1.139999986E0,3.447000122E2,1.618750819E-1,2.500000000E0,3.000000000E0,2.400000000E1
1.347520753E2,6.504530702E1,2.543643591E1,1.151769380E1,2.900000000E1,4.599999785E-1,3.437999878E2,1.629919905E-1,2.500000000E0,3.000000000E0,2.300000000E1
1.357469366E2,6.504531553E1,2.543642325E1,1.151768908E1,2.900000000E1,7.099999785E-1,3.416000061E2,1.642916963E-1,3.000000000E0,3.000000000E0,2.000000000E1
1.367509781E2,6.504531745E1,2.543639593E1,1.151768559E1,2.900000000E1,2.399999946E-1,3.402999878E2,1.656372308E-1,3.000000000E0,3.000000000E0,2.700000000E1
1.377403765E2,6.504531934E1,2.543636760E1,1.151768203E1,2.900000000E1,3.799999952E-1,3.388999939E2,1.666473421E-1,2.500000000E0,3.000000000E0,2.600000000E1
1.387369702E2,6.504532537E1,2.543635150E1,1.151767798E1,2.900000000E1,8.299999833E-1,8.800000191E0,1.681263565E-1,3.000000000E0,4.000000000E0,2.800000000E1
1.397439918E2,6.504533631E1,2.543633357E1,1.151767175E1,2.900000000E1,1.240000010E0,4.699999809E0,1.694191504E-1,3.000000000E0,4.000000000E0,2.800000000E1
1.407436673E2,6.504534792E1,2.543633206E1,1.151766686E1,2.900000000E1,1.379999995E0,1.500000000E0,1.715426354E-1,3.000000000E0,3.000000000E0,1.600000000E1
1.417453934E2,6.504536544E1,2.543631404E1,1.051765793E1,2.800000000E1,8.700000048E-1,3.570000000E2,1.736583057E-1,3.500000000E0,4.000000000E0,2.200000000E1
1.427478035E2,6.504538367E1,2.543630113E1,9.517649211E0,2.700000000E1,1.189999938E0,2.200000048E0,1.750350223E-1,3.000000000E0,3.000000000E0,2.200000000E1
1.437398901E2,6.504539574E1,2.543630767E1,9.517644929E0,2.700000000E1,1.069999933E0,4.900000095E0,1.768855569E-1,3.000000000E0,4.000000000E0,1.500000000E1
1.447468102E2,6.504541234E1,2.543630473E1,9.517637864E0,2.700000000E1,1.159999967E0,6.000000238E-1,1.786631610E-1,3.000000000E0,4.000000000E0,1.600000000E1
1.457496689E2,6.504542793E1,2.543629635E1,9.517630671E0,2.700000000E1,1.179999948E0,6.400000095E0,1.800752284E-1,3.000000000E0,4.000000000E0,1.700000000E1
1.467442884E2,6.504544063E1,2.543629610E1,8.517625462E0,2.600000000E1,1.069999933E0,1.000000000E0,1.814683606E-1,2.500000000E0,3.000000000E0,2.500000000E1
1.477438923E2,6.504545202E1,2.543628378E1,8.517619591E0,2.600000000E1,1.129999995E0,3.553999939E2,1.830267921E-1,2.500000000E0,3.000000000E0,2.200000000E1
1.487473336E2,6.504546552E1,2.543627481E1,8.517613196E0,2.600000000E1,1.110000014E0,3.525000000E2,1.842756565E-1,2.000000000E0,3.000000000E0,2.400000000E1
