"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.139590222E0,-3.469122052E-1,3.229687214E-1,1.267719269E-2,4.741493270E-1
1.144595145E0,-2.676759362E-1,4.008712769E-1,1.255702972E-2,4.821886212E-1
1.149614760E0,-2.656405866E-1,4.022182226E-1,6.336784363E-2,4.861685957E-1
1.154604976E0,-2.624308467E-1,3.280866146E-1,6.295776367E-2,4.248228525E-1
1.159609822E0,-2.985948622E-1,3.262393475E-1,6.329059601E-2,4.467624683E-1
1.164584284E0,-2.960060835E-1,3.267191648E-1,6.325435638E-2,4.453831247E-1
1.169603668E0,-2.553878427E-1,3.643882275E-1,-3.703117371E-3,4.449892623E-1
1.174593899E0,-2.523187995E-1,3.625380993E-1,-3.347396851E-3,4.417124122E-1
1.179598822E0,-1.350158900E-1,3.229029179E-1,-3.029823303E-3,3.500068067E-1
1.184603740E0,-1.329528242E-1,3.216836452E-1,5.120754242E-2,3.518224460E-1
1.189623125E0,-1.657652855E-2,2.437553406E-1,5.136775970E-2,2.496599569E-1
1.194583048E0,-1.473268867E-2,2.413049936E-1,5.180549622E-2,2.472427178E-1
1.199587986E0,-1.118643582E-2,2.379485369E-1,5.242538452E-2,2.439119995E-1
1.204592909E0,6.531107426E-2,2.364317179E-1,4.966735840E-2,2.502645403E-1
1.209612279E0,6.658127904E-2,2.339898348E-1,5.009555817E-2,2.483825164E-1
1.214602433E0,-8.070126176E-3,3.446750641E-1,5.086421967E-2,3.485013566E-1
1.219607356E0,-3.555387259E-3,3.371925354E-1,-2.985286713E-2,3.385301174E-1
1.224612294E0,-4.122756422E-2,2.198950052E-1,-2.946853638E-2,2.256588576E-1
1.229631755E0,-3.861737251E-2,2.153908014E-1,-2.866268158E-2,2.206944678E-1
1.234591448E0,-1.097954512E-1,3.600287437E-1,-2.696323395E-2,3.773628935E-1
1.239596380E0,-1.090436578E-1,2.812117338E-1,2.946662903E-2,3.030492382E-1
1.244601303E0,-1.034974605E-1,2.728443146E-1,3.099918365E-2,2.934564596E-1
1.249620711E0,1.145410538E-2,2.710077763E-1,3.130912781E-2,2.730506781E-1
